TileID,Title,Group,Description,Link
222,Freeze Explosion Turret,turret,Locks onto the nearest tee and shoots projectiles at it that explode and freeze for 3 seconds. Doesn't work through walls and turret blocker tiles.,
223,Unfreeze Turret,turret,Locks onto the nearest tee and shoots projectiles at it that unfreezes. Doesn't work through walls and turret blocker tiles.,
224,Exploding Bullet,bullet,Moving projectile that freezes it hits and explodes when bouncing off walls.,
225,Bullet,bullet,Moving projectile that freezes it hits and bounces off walls.,
226,Shotgun Shield,weapon-remove,Takes shotgun away.,
227,Grenade Shield,weapon-remove,Takes grenade away.,
228,Ninja Shield,weapon-remove,Takes ninja away.,
229,Laser Shield,weapon-remove,Takes laser away.,
233,Slow Dragger,dragger,"Locks onto closest tee and drags it until it is out of sight again, blocked by walls and dragger blocker tiles.",
234,Normal Dragger,dragger,$233,
235,Fast Dragger,dragger,$233,
236,Slow Hookthrough Dragger,hookthrough-dragger,"Locks onto closest tee and drags it until it is out of sight again, blocked only by dragger blocker tiles.",
237,Normal Hookthrough Dragger,hookthrough-dragger,$236,
238,Fast Hookthrough Dragger,hookthrough-dragger,$236,
240,Laser Door,,"Doesn't let tees through, controlled by switches and works like a row of stopper tiles.",
